stationIndex	name	address	lon	lat	desc
175	홍연2교옆	서울특별시 서대문구 홍은동 387-16	126.930817	37.578072	-
176	명지대학교 도서관	서울특별시 서대문구 거북골로 34	126.924026	37.581097	-
177	북가좌 초등학교	서울특별시 서대문구 거북골로19길 20	126.909805	37.577675	-
178	증산3교 앞	서울특별시 서대문구 북가좌동 352-9	126.906349	37.579876	-
179	가좌역 4번출구 앞	서울특별시 서대문구 남가좌동 293-3 	126.914795	37.569122	-
180	충정로역 7번출구 뒤	서울특별시 서대문구 충정로3가 56-1	126.962463	37.559967	-
181	망원초록길 입구	서울특별시 마포구 마포나루길 467	126.902672	37.551342	-
182	망원2빗물펌프장 앞	서울특별시?마포구?동교로?7	126.902847	37.551567	-
183	하늘채코오롱아파트 건너편	서울특별시 마포구 연남로 30	126.919395	37.565166	-
184	SK망원동주유소 건너편	서울특별시 마포구 월드컵로 119?	126.907753	37.558949	-
185	마포 신수공원 앞	서울특별시 마포구 현석동 106-32	126.934296	37.542545	-
186	월드컵공원	서울특별시 마포구 하늘공원로 108-1	126.898209	37.563965	-
188	홍은동 정원여중 입구	서울특별시 서대문구 연희로37안길 51	126.935127	37.586388	-
191	정명학원	서울특별시 서대문구 응암로 66	126.910736	37.578892	-
192	연서어린이공원	서울특별시 서대문구 연희동 519-7	126.923065	37.572227	-
194	증산교 앞	서울특별시 서대문구 불광천길 36	126.902969	37.577316	-
195	모래내고가차도	서울특별시 서대문구 연희동 446-76	126.917809	37.567657	-
196	연희교차로 인근	서울특별시 서대문구 홍제천로 48	126.925896	37.56612	-
198	충정2교	서울특별시 서대문구 충정로3가 155-4	126.963776	37.562138	-
199	서울 월드컵 경기장	서울특별시 마포구 성산동 515	126.896446	37.566845	-
200	국회의원회관	서울특별시 영등포구 의사당대로 1	126.914925	37.528728	-
201	진미파라곤 앞	서울특별시 영등포구 국회대로76길 10	126.921333	37.531239	-
202	국민일보 앞	서울특별시 영등포구 여의공원로 101	126.92453	37.528816	-
203	국회의사당역 3번출구 옆	서울특별시 영등포구 국회대로 지하758	126.918701	37.528057	-
204	국회의사당역 5번출구 옆	서울특별시 영등포구 의사당대로 8	126.917023	37.528164	-
205	산업은행 앞	서울특별시 영등포구 의사당대로 97	126.920509	37.526264	-
206	KBS 앞	서울특별시 영등포구 여의공원로 13	126.918022	37.524666	-
207	여의나루역 1번출구 앞	서울특별시 영등포구 여의동로 지하343	126.932098	37.526989	-
208	LG 트윈타워 앞	-	126.928155	37.527553	-
209	유진투자증권빌딩 앞	서울특별시 영등포구 국제금융로 24	126.927834	37.524612	-
210	신한금융투자후문 앞(NH투자증권앞)	서울특별시 영등포구 은행로 59	126.924454	37.525372	-
211	여의도역 4번출구 옆	서울특별시 영등포구 국회대로68길 7	126.924637	37.522228	-
212	여의도역 1번출구 옆	서울특별시 영등포구 의사당대로 88	126.923462	37.521362	-
213	KT앞	서울특별시 영등포구 여의대로 38	126.918953	37.521908	-
214	금융감독원 앞	서울특별시 영등포구 여의대로 38	126.920837	37.523022	-
215	여의도고교 앞	서울특별시 영등포구 국제금융로7길 37	126.934906	37.524837	-
216	삼부아파트1동 앞	서울특별시 영등포구 국제금융로7길 27	126.932899	37.523491	-
217	NH농협은행 앞	서울특별시 영등포구 국제금융로8길 2	126.930367	37.522079	-
218	증권거래소 앞	서울특별시 영등포구 여의나루로 76	126.929237	37.523277	-
219	롯데캐슬엠파이어 옆	서울특별시 영등포구 의사당대로 127	126.925835	37.520695	-
220	미성아파트 A동 앞	서울특별시 영등포구 의사당대로 110	126.926048	37.519363	-
221	여의도초교 앞	서울특별시 영등포구 여의대방로 439	126.93779	37.522675	-
222	시범아파트버스정류장 옆	서울특별시 영등포구 63로 45	126.938881	37.520271	-
223	진주아파트상가 앞	서울특별시 영등포구 국제금융로 108-6	126.933167	37.519314	-
224	롯데캐슬 앞	서울특별시 영등포구 국제금융로 86	126.932365	37.520088	-
225	앙카라공원 앞	서울특별시 영등포구 의사당대로 지하166	126.929253	37.517368	-
226	샛강역 1번출구 앞	서울특별시 영등포구 의사당대로 지하166	126.928413	37.517765	-
227	양평2나들목 보행통로 입구	서울특별시 영등포구 양화동 17-4	126.888359	37.544666	-
228	선유도역 3번출구 앞	서울특별시 영등포구 양평동4가 202-1	126.894508	37.53846	-
229	양평1 보행육교 앞	서울특별시 영등포구 양평동4가 20-4	126.892181	37.535873	-
230	영등포구청역 1번출구	서울특별시 영등포구 당산로 111-2	126.896217	37.524635	-
231	남부고용노동지청 남측	서울특별시 영등포구 양평동1가 115-2	126.892097	37.524372	-
232	양평우림 이비즈센타 앞	서울특별시 영등포구 양평동3가 14-1	126.887817	37.52565	-
233	YP 센터 앞	서울특별시 영등포구 양평동3가 60-1	126.891647	37.528488	-
234	영등포구민체육센터 앞	서울특별시 영등포구 신길동 399 	126.905846	37.500462	-
235	신길동 우리은행 옆	서울특별시 영등포구 신길동 250-4 	126.910233	37.504566	-
236	문래동자이아파트 앞	서울특별시 영등포구 문래동3가 68-1	126.894615	37.516155	-
237	보라매 두산위브 건너편	서울특별시 영등포구 신길동 4490 	126.914803	37.496513	-
238	제2구민체육센타 앞	서울특별시 영등포구 당산동4가 96-2	126.902756	37.526386	-
239	유스호스텔 앞	서울특별시 영등포구 영등포동7가 58-2	126.903282	37.525852	-
240	문래역 4번출구 앞	서울특별시 영등포구 문래동3가 55-12 	126.895706	37.518867	-
241	신길우성1차아파트 앞 공원	서울특별시 영등포구 도림동 255-2 	126.898483	37.505329	-
242	신길선원가와인아파트 앞	서울특별시 영등포구 신길동 215-28 	126.910225	37.510933	-
243	이앤씨드림타워 앞	서울특별시 영등포구 양평동3가 48-1	126.891594	37.527225	-
244	영등포삼환아파트 앞	서울특별시 영등포구 영등포동8가 82-4 	126.905708	37.530079	-
245	삼성생명 당산사옥 앞	서울특별시 영등포구 당산동4가 35-24 	126.896629	37.528263	-
247	당산역 10번출구 앞	서울특별시 영등포구 당산동5가 14-4	126.902107	37.533688	-
248	초원아파트 앞	서울특별시 영등포구 여의도동8-13	126.92421	37.531055	-
249	여의도중학교 옆	서울특별시 영등포구 여의도동 8	126.936546	37.52412	-
250	대림아파트 사거리	서울특별시 영등포구 신길동 249	126.92308	37.507641	-
251	서울지방병무청 버스정류장	서울특별시 영등포구 신길동853	126.921951	37.504494	-
252	보라매역4번출구	서울특별시 영등포구 신길동4884	126.920036	37.499977	-
